time,health,self-worth,gratitude,generosity,belonging,future,present,past,gratification,focus,independence,motivation,wellbeing,progress,menta
2020-07-07 11:00:00,5.0,7.0,4.0,4.0,6.5,7.5,5.0,8.0,4.0,5.0,7.5,5.5,5.5,,
2020-07-08 11:00:00,4.0,6.0,3.0,4.5,5.0,8.0,6.0,8.0,5.0,4.0,7.0,3.5,4.5,,
2020-07-08 21:00:00,2.0,7.0,8.5,6.0,9.0,8.5,5.0,9.0,3.0,4.0,5.0,3.0,4.0,,
2020-07-09 14:00:00,6.0,8.0,5.0,6.0,8.5,9.0,6.0,9.0,6.0,6.0,6.5,6.0,6.0,,
2020-07-10 22:00:00,2.0,9.0,3.0,3.0,5.0,9.0,6.0,8.0,4.0,6.0,7.0,4.0,3.5,,
2020-07-11 15:00:00,7.0,8.0,5.0,4.0,6.0,8.0,5.0,8.0,4.0,6.0,8.5,5.0,6.0,,
2020-07-12 14:00:00,6.0,6.0,3.0,3.0,5.0,8.0,6.0,6.0,5.0,5.0,8.0,6.5,5.0,,
2020-07-13 13:00:00,3.0,6.5,3.0,3.0,4.0,8.0,4.0,7.0,2.0,4.0,8.0,3.0,4.0,,
2020-07-14 22:00:00,4.0,8.0,5.0,4.0,5.0,7.0,5.0,6.5,3.0,6.0,8.0,4.0,5.0,,
2020-07-15 12:00:00,6.5,8.0,5.0,5.0,5.0,8.5,6.5,7.0,5.0,6.0,8.0,7.0,7.0,,
2020-07-16 14:00:00,7.0,5.0,3.0,1.5,4.0,8.5,6.5,6.0,5.0,6.0,9.0,7.0,5.0,,
2020-07-17 18:00:00,6.0,6.0,5.0,4.0,4.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,6.5,,
2020-07-18 22:00:00,8.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.5,,
2020-07-19 11:00:00,7.0,7.0,7.0,6.5,7.0,8.5,7.0,7.0,8.0,7.0,9.0,7.0,7.0,3.0,
2020-07-19 22:00:00,7.0,5.0,7.0,5.0,2.0,7.0,5.0,8.0,5.0,6.0,3.0,7.0,3.0,3.0,
2020-07-20 13:00:00,8.0,7.0,5.0,5.0,4.0,9.0,7.0,8.0,6.0,6.5,6.0,7.0,7.0,4.0,
2020-07-21 10:00:00,6.5,7.5,6.5,6.0,6.0,9.0,7.0,7.0,5.0,6.0,6.0,6.0,6.5,5.0,
2020-07-22 18:00:00,6.0,6.0,7.0,8.0,6.0,8.0,5.0,7.0,4.0,6.0,6.0,5.0,6.0,5.0,
2020-07-25 17:00:00,3.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,7.0,8.0,
2020-07-26 22:00:00,4.0,8.0,7.0,6.0,8.0,9.0,6.0,7.0,3.0,4.0,6.0,4.0,6.0,8.0,
2020-07-27 12:00:00,2.0,8.0,7.0,6.0,7.0,8.0,3.0,8.0,4.0,5.0,6.0,4.0,5.0,7.0,
2020-07-28 21:00:00,4.5,7.5,7.0,7.0,8.0,9.0,4.0,8.0,5.0,5.0,7.0,6.0,6.0,6.0,
2020-07-30 12:00:00,2.0,8.5,7.0,6.5,9.0,8.0,5.0,9.0,3.0,5.0,7.0,4.0,7.0,7.0,
2020-08-01 14:00:00,3.0,8.0,8.0,7.0,9.0,8.0,6.0,5.0,2.0,3.0,7.0,6.0,7.0,6.0,
2020-08-02 12:00:00,3.0,8.0,8.0,7.0,9.0,7.0,4.0,7.0,4.0,4.0,5.0,3.0,5.0,6.0,
2020-08-03 01:00:00,3.0,7.0,5.0,4.0,2.0,8.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,
2020-08-03 14:00:00,3.0,6.0,4.0,3.0,4.0,6.0,3.0,7.0,2.0,4.0,5.0,3.0,4.0,3.0,
2020-08-04 11:00:00,2.0,3.5,6.0,3.0,3.0,8.0,3.0,8.0,4.0,5.0,4.0,2.0,3.0,3.0,
2020-08-05 22:00:00,5.0,5.0,4.0,3.0,3.0,7.0,3.0,7.0,5.0,4.0,8.0,4.0,4.0,3.0,
2020-08-06 12:00:00,4.0,5.0,3.0,3.0,3.0,7.0,3.0,8.0,4.0,3.0,5.0,2.0,4.0,2.0,
2020-08-08 23:00:00,4.0,7.0,5.0,4.0,5.0,8.0,2.0,7.0,4.0,3.0,6.0,4.0,5.0,2.0,
2020-08-12 20:00:00,1.0,4.0,3.0,4.0,2.0,6.0,2.0,7.0,5.0,3.0,3.0,2.0,2.0,2.0,
2020-08-13 18:00:00,4.0,5.0,4.0,2.0,3.0,7.0,2.0,7.0,5.0,4.0,5.0,3.0,3.5,3.0,
2020-09-07 13:00:00,5.0,8.0,8.0,7.0,8.0,7.0,4.0,7.0,4.0,5.0,4.0,5.0,7.0,8.0,
2020-09-08 11:00:00,5.0,7.0,8.0,5.0,8.0,9.0,4.0,8.0,5.0,5.0,6.0,7.0,7.0,7.0,
2020-09-09 23:00:00,4.0,6.0,5.0,5.0,7.0,8.0,3.0,8.0,5.0,5.0,5.0,6.0,6.5,8.0,
2020-09-10 11:00:00,6.0,7.0,4.0,6.0,7.0,8.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,
2020-09-11 13:00:00,3.0,8.0,6.0,6.0,8.0,8.0,5.0,8.0,5.0,8.0,6.0,7.0,6.0,9.0,
2020-09-13 02:00:00,6.0,7.5,7.0,6.0,7.5,9.0,4.0,9.0,4.0,6.0,5.0,7.0,7.0,9.0,
